LAST SEEN   TYPE      REASON                         OBJECT                                                       MESSAGE
34m         Normal    SuccessfulCreate               replicaset/life-assistant-merchant-service-97c5d8c95         Created pod: life-assistant-merchant-service-97c5d8c95-96q8q
34m         Normal    Pulled                         pod/life-assistant-merchant-service-97c5d8c95-96q8q          Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-84e49096562b5713112782a46fcb4070c6f4c50a" already present on machine and can be accessed by the pod
34m         Normal    Started                        pod/life-assistant-merchant-service-97c5d8c95-96q8q          Container started
34m         Normal    Created                        pod/life-assistant-merchant-service-97c5d8c95-96q8q          Container created
34m         Normal    ScalingReplicaSet              deployment/life-assistant-api-gateway                        Scaled up replica set life-assistant-api-gateway-789b5d7b79 from 1 to 2
34m         Normal    Pulled                         pod/life-assistant-api-gateway-789b5d7b79-bzrbt              Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:api-gateway-84e49096562b5713112782a46fcb4070c6f4c50a" already present on machine and can be accessed by the pod
34m         Normal    Created                        pod/life-assistant-api-gateway-789b5d7b79-bzrbt              Container created
34m         Normal    Started                        pod/life-assistant-api-gateway-789b5d7b79-bzrbt              Container started
34m         Normal    SuccessfulCreate               replicaset/life-assistant-api-gateway-789b5d7b79             Created pod: life-assistant-api-gateway-789b5d7b79-bzrbt
33m         Warning   Unhealthy                      pod/life-assistant-merchant-service-97c5d8c95-96q8q          Readiness probe failed: Get "http://10.42.0.184:8081/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
32m         Normal    SuccessfulDelete               replicaset/life-assistant-settlement-service-6bcc59466d      Deleted pod: life-assistant-settlement-service-6bcc59466d-zc9wf
32m         Normal    Killing                        pod/life-assistant-settlement-service-6bcc59466d-zc9wf       Stopping container settlement-service
32m         Normal    ScalingReplicaSet              deployment/life-assistant-settlement-service                 Scaled down replica set life-assistant-settlement-service-6bcc59466d from 2 to 1
32m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-settlement-service    New size: 1; reason: All metrics below target
32m         Warning   Unhealthy                      pod/life-assistant-settlement-service-6bcc59466d-zc9wf       Readiness probe failed: Get "http://10.42.0.182:8084/api/health": dial tcp 10.42.0.182:8084: connect: connection refused
31m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled up replica set life-assistant-merchant-service-f754674fd from 0 to 1
31m         Normal    SuccessfulCreate               replicaset/life-assistant-merchant-service-f754674fd         Created pod: life-assistant-merchant-service-f754674fd-tspxq
31m         Normal    Started                        pod/life-assistant-merchant-service-f754674fd-tspxq          Container started
31m         Normal    Pulled                         pod/life-assistant-merchant-service-f754674fd-tspxq          Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-84e49096562b5713112782a46fcb4070c6f4c50a" already present on machine and can be accessed by the pod
