LAST SEEN   TYPE      REASON                         OBJECT                                                       MESSAGE
28m         Normal    Pulled                         pod/life-assistant-merchant-service-5bd7fc6fc8-cnh4w         Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
28m         Normal    Created                        pod/life-assistant-merchant-service-5bd7fc6fc8-cnh4w         Container created
27m         Normal    SuccessfulCreate               replicaset/life-assistant-merchant-service-c864547b8         Created pod: life-assistant-merchant-service-c864547b8-vdbst
27m         Normal    Killing                        pod/life-assistant-merchant-service-5bd7fc6fc8-cnh4w         Stopping container merchant-service
27m         Normal    SuccessfulDelete               replicaset/life-assistant-merchant-service-5bd7fc6fc8        Deleted pod: life-assistant-merchant-service-5bd7fc6fc8-cnh4w
27m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled up replica set life-assistant-merchant-service-c864547b8 from 0 to 1
27m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled down replica set life-assistant-merchant-service-5bd7fc6fc8 from 1 to 0
27m         Normal    SuccessfulDelete               replicaset/life-assistant-merchant-service-5bd7fc6fc8        Deleted pod: life-assistant-merchant-service-5bd7fc6fc8-c8hjz
27m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled down replica set life-assistant-merchant-service-5bd7fc6fc8 from 3 to 1
27m         Normal    Killing                        pod/life-assistant-merchant-service-5bd7fc6fc8-c8hjz         Stopping container merchant-service
27m         Normal    Killing                        pod/life-assistant-merchant-service-5bd7fc6fc8-59cjl         Stopping container merchant-service
27m         Normal    SuccessfulDelete               replicaset/life-assistant-merchant-service-5bd7fc6fc8        Deleted pod: life-assistant-merchant-service-5bd7fc6fc8-59cjl
27m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-cnh4w         Liveness probe failed: Get "http://10.42.0.195:8081/api/health": dial tcp 10.42.0.195:8081: connect: connection refused
27m         Normal    Pulling                        pod/life-assistant-merchant-service-c864547b8-vdbst          Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-50d3346ee281e2de2ed57bfe9139fe8feb72b1c4"
27m         Normal    Started                        pod/life-assistant-merchant-service-c864547b8-vdbst          Container started
27m         Normal    Created                        pod/life-assistant-merchant-service-c864547b8-vdbst          Container created
27m         Normal    Pulled                         pod/life-assistant-merchant-service-c864547b8-vdbst          Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-50d3346ee281e2de2ed57bfe9139fe8feb72b1c4" in 7.82s (7.82s including waiting). Image size: 179961487 bytes.
27m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-cnh4w         Readiness probe failed: Get "http://10.42.0.195:8081/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
27m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-59cjl         Readiness probe failed: Get "http://10.42.0.194:8081/api/health": dial tcp 10.42.0.194:8081: connect: connection refused
