timestamp,pod,cpu,memory
2026-09-01T10:35:27+08:00,life-assistant-api-gateway-68b5c996df-nljj5,5m,224Mi
2026-09-01T10:35:27+08:00,life-assistant-engagement-service-95c6b48f5-rqzdj,6m,284Mi
2026-09-01T10:35:27+08:00,life-assistant-frontend-fc48fc794-wmck7,1m,4Mi
2026-09-01T10:35:27+08:00,life-assistant-fulfillment-service-7d8b56595d-z9slz,7m,278Mi
2026-09-01T10:35:27+08:00,life-assistant-merchant-service-55f5f7c468-4t6l5,5m,287Mi
2026-09-01T10:35:27+08:00,life-assistant-mysql-596766557b-hl5pf,15m,611Mi
2026-09-01T10:35:27+08:00,life-assistant-nacos-5995f55965-l7wq6,5m,559Mi
2026-09-01T10:35:27+08:00,life-assistant-order-service-5696b855c6-lq468,5m,275Mi
2026-09-01T10:35:27+08:00,life-assistant-redis-c4fcbf6c-r8mhj,9m,14Mi
2026-09-01T10:35:27+08:00,life-assistant-settlement-service-6485f7b9bb-wwdxd,7m,266Mi
2026-09-01T10:35:27+08:00,life-assistant-user-service-d9d686b55-p49lg,6m,282Mi
2026-09-01T10:35:45+08:00,life-assistant-api-gateway-68b5c996df-nljj5,4m,224Mi
2026-09-01T10:35:45+08:00,life-assistant-engagement-service-95c6b48f5-rqzdj,4m,285Mi
2026-09-01T10:35:45+08:00,life-assistant-frontend-fc48fc794-wmck7,1m,4Mi
2026-09-01T10:35:45+08:00,life-assistant-fulfillment-service-7d8b56595d-z9slz,4m,278Mi
2026-09-01T10:35:45+08:00,life-assistant-merchant-service-55f5f7c468-4t6l5,4m,287Mi
2026-09-01T10:35:45+08:00,life-assistant-mysql-596766557b-hl5pf,12m,611Mi
2026-09-01T10:35:45+08:00,life-assistant-nacos-5995f55965-l7wq6,5m,559Mi
2026-09-01T10:35:45+08:00,life-assistant-order-service-5696b855c6-lq468,4m,275Mi
2026-09-01T10:35:45+08:00,life-assistant-redis-c4fcbf6c-r8mhj,9m,14Mi
2026-09-01T10:35:45+08:00,life-assistant-settlement-service-6485f7b9bb-wwdxd,4m,266Mi
2026-09-01T10:35:45+08:00,life-assistant-user-service-d9d686b55-p49lg,4m,282Mi
2026-09-01T10:36:03+08:00,life-assistant-api-gateway-68b5c996df-nljj5,4m,225Mi
2026-09-01T10:36:03+08:00,life-assistant-engagement-service-95c6b48f5-rqzdj,4m,285Mi
2026-09-01T10:36:03+08:00,life-assistant-frontend-fc48fc794-wmck7,1m,4Mi
2026-09-01T10:36:03+08:00,life-assistant-fulfillment-service-7d8b56595d-z9slz,7m,278Mi
2026-09-01T10:36:03+08:00,life-assistant-merchant-service-55f5f7c468-4t6l5,4m,287Mi
2026-09-01T10:36:03+08:00,life-assistant-mysql-596766557b-hl5pf,15m,611Mi
2026-09-01T10:36:03+08:00,life-assistant-nacos-5995f55965-l7wq6,4m,559Mi
2026-09-01T10:36:03+08:00,life-assistant-order-service-5696b855c6-lq468,3m,275Mi
2026-09-01T10:36:03+08:00,life-assistant-redis-c4fcbf6c-r8mhj,10m,14Mi
2026-09-01T10:36:03+08:00,life-assistant-settlement-service-6485f7b9bb-wwdxd,5m,266Mi
2026-09-01T10:36:03+08:00,life-assistant-user-service-d9d686b55-p49lg,4m,282Mi
2026-09-01T10:36:21+08:00,life-assistant-api-gateway-68b5c996df-nljj5,30m,224Mi
2026-09-01T10:36:21+08:00,life-assistant-engagement-service-95c6b48f5-rqzdj,4m,285Mi
2026-09-01T10:36:21+08:00,life-assistant-frontend-fc48fc794-wmck7,1m,4Mi
2026-09-01T10:36:21+08:00,life-assistant-fulfillment-service-7d8b56595d-z9slz,7m,278Mi
2026-09-01T10:36:21+08:00,life-assistant-merchant-service-55f5f7c468-4t6l5,5m,287Mi
2026-09-01T10:36:21+08:00,life-assistant-mysql-596766557b-hl5pf,21m,611Mi
2026-09-01T10:36:21+08:00,life-assistant-nacos-5995f55965-l7wq6,5m,559Mi
